Designator,Mid X,Mid Y,Rotation,Layer
F1,80.94,-37.338,90.0,top
F2,68.29,-37.338,90.0,top
F3,55.64,-37.338,90.0,top
F4,42.99,-37.338,90.0,top
F5,30.34,-37.338,90.0,top
U1,37.592,-55.88,270.0,top
